"Login","Name","Vornam","Abteilung","Mail"
"npn2hi","Preston","Natalia","ABT 3","Natalia.Preston@localmail.xx"
"bmn2hi","Mccann","Bobbi","ABT 1","Bobbi.Mccann@localmail.xx"
"abn2hi","Bateman","Abdul","ABT 3.3","Abdul.Bateman@localmail.xx"
"rke2hi","Kaye","Rachel","ABT 4.5","Rachel.Kaye@localmail.xx"
"pbr2hi","Baker","Phillippa","ABT 7","Phillippa.Baker@localmail.xx"
"sfa2hi","Ferreira","Sulayman","ABT 1.1","Sulayman.Ferreira@localmail.xx"
"rce2gi","Chase","Roma","ABT 2.6","Roma.Chase@localmail.xx"
"ird2hi","Rudd","Ibrahim","ABT 6.3","Ibrahim.Rudd@localmail.xx"
"ole2hi","Lawrence","Ophelia","ABT 3.7","Ophelia.Lawrence@localmail.xx"
"bss2hi","Saunders","Benjamin","ABT 2.2","Benjamin.Saunders@localmail.xx"
"abe2hi","Blackmore","Anam","ABT 2.8","Anam.Blackmore@localmail.xx"
"eol2hi","Oneill","Ember","ABT 9.1","Ember.Oneill@localmail.xx"
"sao2hi","Arroyo","Sabiha","ABT 10","Sabiha.Arroyo@localmail.xx"
"rfc2hi","French","Rajveer","ABT 1.4","Rajveer.French@localmail.xx"
"asy2hi","Sweeney","Aneesa","ABT 4.4","Aneesa.Sweeney@localmail.xx"
"dhy2hi","Hensley","Danni","ABT 6.4","Danni.Hensley@localmail.xx"
"steph","Leech","Avery","ABT 5.2","Avery.Leech@localmail.xx"
"dln2hi","Logan","Dolcie","ABT 3.3","Dolcie.Logan@localmail.xx"
"mwe2hi","Wilde","Montague","ABT 2.1","Montague.Wilde@localmail.xx"
"chn2hi","Harmon","Caris","ABT 3","Caris.Harmon@localmail.xx"
