id;Vorname;Name;abteilung;mail
npn2hi;Natalia;Preston;ABT 3;Natalia.Preston@localmail.xx
bmn2hi;Bobbi;Mccann;ABT 1;Bobbi.Mccann@localmail.xx
abn2hi;Abdul;Bateman;ABT 3.3;Abdul.Bateman@localmail.xx
rke2hi;Rachel;Kaye;ABT 4.5;Rachel.Kaye@localmail.xx
pbr2hi;Phillippa;Baker;ABT 7;Phillippa.Baker@localmail.xx
sfa2hi;Sulayman;Ferreira;ABT 1.1;Sulayman.Ferreira@localmail.xx
rce2gi;Roma;Chase;ABT 2.6;Roma.Chase@localmail.xx
ird2hi;Ibrahim;Rudd;ABT 6.3;Ibrahim.Rudd@localmail.xx
ole2hi;Ophelia;Lawrence;ABT 3.7;Ophelia.Lawrence@localmail.xx
bss2hi;Benjamin;Saunders;ABT 2.2;Benjamin.Saunders@localmail.xx
abe2hi;Anam;Blackmore;ABT 2.8;Anam.Blackmore@localmail.xx
eol2hi;Ember;Oneill;ABT 9.1;Ember.Oneill@localmail.xx
sao2hi;Sabiha;Arroyo;ABT 10;Sabiha.Arroyo@localmail.xx
rfc2hi;Rajveer;French;ABT 1.4;Rajveer.French@localmail.xx
asy2hi;Aneesa;Sweeney;ABT 4.4;Aneesa.Sweeney@localmail.xx
dhy2hi;Danni;Hensley;ABT 6.4;Danni.Hensley@localmail.xx
alc2hi;Avery;Leech;ABT 5.2;Avery.Leech@localmail.xx
dln2hi;Dolcie;Logan;ABT 3.3;Dolcie.Logan@localmail.xx
mwe2hi;Montague;Wilde;ABT 2.1;Montague.Wilde@localmail.xx
chn2hi;Caris;Harmon;ABT 3;Caris.Harmon@localmail.xx
